county,month,labor_force,employed,unemployed,unemployment_rate
Herkimer,1992-11,29900,27700,2300,7.5
Jefferson,1992-11,45900,40200,5700,12.4
Kings,1992-11,949100,834500,114600,12.1
Lewis,1992-11,12500,11200,1300,10.5
Livingston,1992-11,33200,31300,1900,5.6
Madison,1992-11,35700,33300,2400,6.7
Monroe,1992-11,383100,365900,17200,4.5
Montgomery,1992-11,24300,22300,2000,8.3
Nassau,1992-11,679100,633400,45700,6.7
New York,1992-11,771000,696900,74100,9.6
Niagara,1992-11,108400,100200,8200,7.6
Oneida,1992-11,113600,106300,7300,6.4
Onondaga,1992-11,243300,228500,14700,6.1
Ontario,1992-11,52400,49400,3000,5.7
Orange,1992-11,154400,145000,9400,6.1
Orleans,1992-11,20600,19000,1600,7.6
Oswego,1992-11,58600,52500,6100,10.4
Otsego,1992-11,31700,29600,2100,6.7
Putnam,1992-11,48000,45400,2600,5.4
Queens,1992-11,951300,850900,100400,10.6
Rensselaer,1992-11,81900,77200,4700,5.8
Richmond,1992-11,182900,165600,17400,9.5
Rockland,1992-11,140800,132300,8400,6.0
Saratoga,1992-11,99600,93900,5700,5.8
Schenectady,1992-11,75400,71200,4300,5.6
Schoharie,1992-11,15600,14400,1200,7.6
Schuyler,1992-11,8900,8100,800,8.5
Seneca,1992-11,16500,15500,1000,6.0
St. Lawrence,1992-11,51800,47200,4600,8.9
Steuben,1992-11,48500,45100,3400,7.1
Suffolk,1992-11,693100,638800,54300,7.8
Sullivan,1992-11,32900,29900,3100,9.3
Tioga,1992-11,26200,24600,1600,6.2
Tompkins,1992-11,49000,46800,2200,4.4
Ulster,1992-11,82600,77200,5400,6.5
Warren,1992-11,30900,27800,3100,9.9
Washington,1992-11,27900,25800,2100,7.4
Wayne,1992-11,47400,44600,2800,5.9
Westchester,1992-11,450000,423300,26700,5.9
Wyoming,1992-11,20400,18800,1600,8.1
Yates,1992-11,11700,10900,800,6.9
Albany,1992-12,156500,149100,7400,4.7
Allegany,1992-12,23200,21100,2100,9.2
Bronx,1992-12,459900,399100,60800,13.2
Broome,1992-12,103900,96500,7300,7.1
Cattaraugus,1992-12,38900,35200,3700,9.4
Cayuga,1992-12,38500,35600,2900,7.5
Chautauqua,1992-12,66700,61800,4900,7.4
Chemung,1992-12,43100,40500,2600,6.1
Chenango,1992-12,24600,22500,2000,8.3
Clinton,1992-12,40100,36700,3400,8.5
Columbia,1992-12,31000,29300,1600,5.2
Cortland,1992-12,24900,22900,2000,8.2
Delaware,1992-12,21100,19600,1500,7.1
Dutchess,1992-12,124600,116200,8400,6.8
Erie,1992-12,474200,442800,31300,6.6
Essex,1992-12,18000,15700,2300,13.0
Franklin,1992-12,20900,18800,2200,10.4
Fulton,1992-12,27000,24600,2400,8.8
Genesee,1992-12,32300,29800,2500,7.8
Greene,1992-12,21400,19400,1900,9.0
Hamilton,1992-12,2800,2400,400,15.9
Herkimer,1992-12,30100,27500,2600,8.7
Jefferson,1992-12,45200,39400,5800,12.8
Kings,1992-12,955800,838800,117000,12.2
Lewis,1992-12,12300,10900,1400,11.5
Livingston,1992-12,33400,31300,2100,6.2
Madison,1992-12,35900,33200,2700,7.6
Monroe,1992-12,382800,365800,17100,4.5
Montgomery,1992-12,24400,22200,2200,8.8
Nassau,1992-12,677300,634300,43000,6.4
New York,1992-12,777400,700500,76900,9.9
Niagara,1992-12,108900,100600,8300,7.7
Oneida,1992-12,113100,105500,7500,6.7
Onondaga,1992-12,242200,227800,14400,5.9
Ontario,1992-12,52700,49400,3300,6.2
Orange,1992-12,153500,144200,9300,6.1
Orleans,1992-12,20800,19000,1800,8.6
Oswego,1992-12,58700,52400,6300,10.8
Otsego,1992-12,30900,28600,2300,7.5
Putnam,1992-12,47700,45100,2600,5.5
Queens,1992-12,955100,855400,99800,10.4
Rensselaer,1992-12,81700,76900,4800,5.8
Richmond,1992-12,183000,166400,16600,9.1
Rockland,1992-12,141500,133400,8000,5.7
Saratoga,1992-12,99400,93500,5800,5.9
Schenectady,1992-12,75300,70900,4300,5.8
Schoharie,1992-12,15600,14400,1200,7.7
Schuyler,1992-12,8800,8000,800,9.1
Seneca,1992-12,16300,15200,1100,6.6
St. Lawrence,1992-12,50500,45800,4700,9.4
Steuben,1992-12,48300,44700,3600,7.4
Suffolk,1992-12,692200,639700,52500,7.6
Sullivan,1992-12,32200,28700,3500,10.8
Tioga,1992-12,26100,24500,1700,6.4
Tompkins,1992-12,48600,46400,2200,4.6
Ulster,1992-12,81400,76000,5500,6.7
Warren,1992-12,31000,27500,3500,11.3
Washington,1992-12,27700,25500,2200,7.8
Wayne,1992-12,47700,44500,3200,6.7
Westchester,1992-12,450000,423800,26200,5.8
Wyoming,1992-12,20000,18300,1800,8.9
Yates,1992-12,11600,10700,800,7.2
Albany,1993-01,154600,146700,7900,5.1
Allegany,1993-01,22400,19900,2500,11.2
Bronx,1993-01,457200,392200,65000,14.2
Broome,1993-01,103400,95100,8300,8.0
Cattaraugus,1993-01,39300,35200,4100,10.5
Cayuga,1993-01,38400,35000,3400,9.0
Chautauqua,1993-01,67100,60700,6400,9.6
Chemung,1993-01,43200,40300,2900,6.8
Chenango,1993-01,25100,22600,2500,10.0
Clinton,1993-01,39900,36000,3900,9.7
Columbia,1993-01,31400,29400,1900,6.1
Cortland,1993-01,25100,22700,2300,9.2
Delaware,1993-01,20700,19000,1800,8.5
Dutchess,1993-01,124500,115100,9400,7.6
Erie,1993-01,470300,434300,35900,7.6
Essex,1993-01,18100,15600,2600,14.1
Franklin,1993-01,21500,18800,2700,12.5
Fulton,1993-01,27500,24700,2800,10.2
Genesee,1993-01,32500,29600,3000,9.1
Greene,1993-01,22300,20100,2200,9.8
Hamilton,1993-01,2900,2400,500,17.4
Herkimer,1993-01,30500,27400,3100,10.1
Jefferson,1993-01,44500,38100,6500,14.5
Kings,1993-01,952300,822600,129600,13.6
Lewis,1993-01,12700,11000,1700,13.5
Livingston,1993-01,33500,31100,2400,7.2
Madison,1993-01,36000,32600,3400,9.4
Monroe,1993-01,380600,362200,18400,4.8
Montgomery,1993-01,24600,21900,2700,11.0
Nassau,1993-01,669200,624700,44500,6.6
New York,1993-01,775600,691700,83900,10.8
Niagara,1993-01,108700,99000,9700,8.9
Oneida,1993-01,113100,104200,8900,7.9
Onondaga,1993-01,239700,223800,15800,6.6
Ontario,1993-01,53000,49100,3900,7.4
Orange,1993-01,154600,144100,10500,6.8
Orleans,1993-01,21500,19400,2100,9.6
Oswego,1993-01,59100,51900,7300,12.3
Otsego,1993-01,30200,27600,2600,8.7
Putnam,1993-01,47600,44700,2900,6.1
Queens,1993-01,952200,842600,109600,11.5
Rensselaer,1993-01,81300,76100,5200,6.4
Richmond,1993-01,183600,165300,18200,9.9
Rockland,1993-01,142100,132900,9200,6.5
Saratoga,1993-01,99800,93300,6500,6.5
Schenectady,1993-01,74400,69800,4700,6.3
Schoharie,1993-01,15800,14200,1600,10.0
Schuyler,1993-01,8700,7800,900,10.3
Seneca,1993-01,16300,15100,1200,7.5
St. Lawrence,1993-01,50800,45300,5500,10.9
Steuben,1993-01,48000,43900,4100,8.5
Suffolk,1993-01,688500,632100,56400,8.2
Sullivan,1993-01,32400,28700,3700,11.5
Tioga,1993-01,26300,24400,1900,7.3
Tompkins,1993-01,46800,44300,2500,5.3
Ulster,1993-01,83100,76500,6500,7.9
Warren,1993-01,31200,27400,3800,12.2
Washington,1993-01,27700,25200,2500,9.1
Wayne,1993-01,48200,44500,3700,7.7
Westchester,1993-01,443500,414500,29000,6.5
Wyoming,1993-01,20400,18200,2200,10.6
Yates,1993-01,11200,10200,900,8.4
Albany,1993-02,154700,147200,7500,4.8
Allegany,1993-02,23600,21100,2500,10.6
Bronx,1993-02,458400,396900,61400,13.4
Broome,1993-02,103600,95400,8100,7.9
Cattaraugus,1993-02,39600,35600,4000,10.1
Cayuga,1993-02,38200,35000,3200,8.3
Chautauqua,1993-02,67400,62100,5300,7.9
Chemung,1993-02,43000,40100,2900,6.8
Chenango,1993-02,25000,22500,2500,9.9
Clinton,1993-02,39800,36000,3800,9.5
Columbia,1993-02,31400,29400,1900,6.2
Cortland,1993-02,25200,22900,2200,8.9
Delaware,1993-02,20900,19200,1700,8.1
Dutchess,1993-02,124200,114900,9300,7.5
Erie,1993-02,470200,434100,36100,7.7
Essex,1993-02,18100,15600,2500,13.7
Franklin,1993-02,21600,19200,2500,11.5
Fulton,1993-02,27600,24900,2700,9.8
Genesee,1993-02,32400,29600,2900,8.8
Greene,1993-02,22000,19700,2200,10.1
Hamilton,1993-02,2900,2400,500,16.8
Herkimer,1993-02,30300,27300,3000,9.8
Jefferson,1993-02,44100,37700,6400,14.5
Kings,1993-02,958800,832500,126300,13.2
Lewis,1993-02,12500,10800,1700,13.7
Livingston,1993-02,33500,31100,2400,7.2
Madison,1993-02,35800,32600,3200,9.0
Monroe,1993-02,381000,362300,18700,4.9
Montgomery,1993-02,24500,22000,2600,10.5
Nassau,1993-02,665700,622300,43400,6.5
New York,1993-02,780700,700000,80600,10.3
Niagara,1993-02,108400,99000,9400,8.7
Oneida,1993-02,112500,103900,8600,7.7
Onondaga,1993-02,240400,224000,16400,6.8
Ontario,1993-02,53000,49100,3900,7.3
Orange,1993-02,153600,143500,10100,6.6
Orleans,1993-02,21400,19400,2000,9.2
Oswego,1993-02,58800,51900,6900,11.8
Otsego,1993-02,31400,28800,2600,8.1
Putnam,1993-02,47400,44500,2900,6.1
Queens,1993-02,958600,852700,105800,11.0
Rensselaer,1993-02,81500,76300,5200,6.4
Richmond,1993-02,185800,167300,18500,9.9
Rockland,1993-02,142200,133200,9000,6.3
Saratoga,1993-02,100100,93600,6500,6.5
Schenectady,1993-02,74700,70000,4700,6.3
Schoharie,1993-02,15800,14300,1500,9.6
Schuyler,1993-02,8600,7700,900,10.2
Seneca,1993-02,16000,14900,1200,7.3
St. Lawrence,1993-02,51400,46000,5400,10.5
Steuben,1993-02,47900,44000,4000,8.2
Suffolk,1993-02,685600,629600,56000,8.2
Sullivan,1993-02,32300,28600,3700,11.5
Tioga,1993-02,26400,24400,2000,7.4
Tompkins,1993-02,49300,46800,2500,5.1
Ulster,1993-02,82900,76500,6400,7.8
Warren,1993-02,31000,27400,3600,11.7
Washington,1993-02,27600,25200,2400,8.7
Wayne,1993-02,48400,44500,3900,8.1
Westchester,1993-02,442200,413900,28300,6.4
Wyoming,1993-02,20200,18000,2200,10.7
Yates,1993-02,11000,10200,900,7.9
Albany,1993-03,155300,148500,6800,4.4
Allegany,1993-03,23400,21100,2300,9.8
Bronx,1993-03,456400,399000,57500,12.6
Broome,1993-03,103600,95900,7700,7.4
Cattaraugus,1993-03,39200,35500,3700,9.4
Cayuga,1993-03,38000,35100,2900,7.7
Chautauqua,1993-03,67400,62500,4800,7.2
Chemung,1993-03,42800,40000,2800,6.5
Chenango,1993-03,24800,22600,2300,9.1
Clinton,1993-03,39900,36300,3600,9.0
Columbia,1993-03,31400,29600,1800,5.6
Cortland,1993-03,24700,22600,2100,8.6
Delaware,1993-03,20700,19100,1600,7.6
Dutchess,1993-03,123300,114600,8700,7.1
Erie,1993-03,469700,436700,33000,7.0
Essex,1993-03,17600,15400,2300,12.8
Franklin,1993-03,21200,18900,2300,10.8
Fulton,1993-03,27600,25100,2400,8.8
Genesee,1993-03,32000,29500,2400,7.5
Greene,1993-03,21300,19200,2100,9.7
Hamilton,1993-03,2900,2500,400,15.3
Herkimer,1993-03,30200,27400,2800,9.3
Jefferson,1993-03,43800,37800,6000,13.8
Kings,1993-03,951500,836800,114600,12.0
Lewis,1993-03,12300,10700,1600,13.0
Livingston,1993-03,33400,31100,2300,6.9
Madison,1993-03,35700,32700,3000,8.4
Monroe,1993-03,379800,362100,17700,4.7
Montgomery,1993-03,24400,22200,2200,9.1
Nassau,1993-03,670200,629900,40300,6.0
New York,1993-03,774400,703600,70800,9.1
Niagara,1993-03,108300,99600,8700,8.1
Oneida,1993-03,112300,104300,8000,7.1
Onondaga,1993-03,239500,224500,15100,6.3
Ontario,1993-03,52400,49100,3400,6.4
Orange,1993-03,153700,144200,9500,6.2
Orleans,1993-03,21300,19400,1900,8.9
Oswego,1993-03,58100,52000,6100,10.6
Otsego,1993-03,31100,28800,2300,7.3
Putnam,1993-03,47600,44900,2700,5.6
Queens,1993-03,955000,857100,97900,10.3
Rensselaer,1993-03,81700,77100,4600,5.7
Richmond,1993-03,185000,168200,16800,9.1
Rockland,1993-03,142200,133800,8400,5.9
Saratoga,1993-03,100400,94400,5900,5.9
Schenectady,1993-03,75000,70600,4400,5.8
Schoharie,1993-03,15700,14400,1300,8.6
Schuyler,1993-03,8600,7800,800,9.5
Seneca,1993-03,15900,14900,1100,6.7
St. Lawrence,1993-03,51100,46200,5000,9.7
Steuben,1993-03,47300,43700,3700,7.8
Suffolk,1993-03,689400,637300,52100,7.6
Sullivan,1993-03,31900,28400,3500,10.9
Tioga,1993-03,26400,24600,1900,7.1
Tompkins,1993-03,49000,46700,2300,4.8
Ulster,1993-03,82900,77000,5900,7.1
Warren,1993-03,30600,27200,3400,11.0
Washington,1993-03,27300,25100,2200,8.1
Wayne,1993-03,48000,44500,3500,7.3
Westchester,1993-03,443000,416800,26200,5.9
Wyoming,1993-03,19900,17900,2000,9.9
Yates,1993-03,11400,10600,800,6.9
Albany,1993-04,154900,148800,6100,4.0
Allegany,1993-04,23000,21000,2000,8.8
Bronx,1993-04,449800,395300,54400,12.1
Broome,1993-04,103400,96300,7100,6.9
Cattaraugus,1993-04,37900,34400,3500,9.3
Cayuga,1993-04,38000,35300,2700,7.2
Chautauqua,1993-04,67400,62200,5100,7.6
Chemung,1993-04,41900,39400,2500,6.0
Chenango,1993-04,24900,22900,2000,8.2
Clinton,1993-04,40200,37100,3200,7.9
Columbia,1993-04,32300,30600,1600,5.0
Cortland,1993-04,24400,22500,1900,7.8
Delaware,1993-04,21000,19500,1500,7.1
Dutchess,1993-04,123300,114600,8700,7.1
Erie,1993-04,466200,435300,31000,6.6
Essex,1993-04,16900,14700,2300,13.4
Franklin,1993-04,21100,19100,2100,9.7
Fulton,1993-04,27000,24800,2100,7.9
Genesee,1993-04,31800,29800,2000,6.4
Greene,1993-04,20700,18800,1900,9.4
Hamilton,1993-04,2700,2300,400,15.7
Herkimer,1993-04,30200,27600,2600,8.6
Jefferson,1993-04,44000,38500,5600,12.6
Kings,1993-04,939100,829200,109800,11.7
Lewis,1993-04,12300,10900,1400,11.4
Livingston,1993-04,33300,31300,2000,5.9
Madison,1993-04,35300,32800,2500,7.1
Monroe,1993-04,381500,364700,16800,4.4
Montgomery,1993-04,24100,22200,1900,7.9
Nassau,1993-04,671100,633200,37900,5.6
New York,1993-04,761500,697300,64200,8.4
Niagara,1993-04,107600,99200,8400,7.8
Oneida,1993-04,112100,105000,7100,6.3
Onondaga,1993-04,239400,225600,13900,5.8
Ontario,1993-04,52200,49400,2800,5.3
Orange,1993-04,151800,143100,8700,5.7
Orleans,1993-04,21300,19500,1800,8.4
Oswego,1993-04,58000,52300,5800,9.9
Otsego,1993-04,31000,29000,2000,6.4
Putnam,1993-04,48000,45600,2400,4.9
Queens,1993-04,943300,849400,93900,10.0
Rensselaer,1993-04,81500,77200,4300,5.2
Richmond,1993-04,183400,166700,16700,9.1
Rockland,1993-04,142300,134200,8100,5.7
Saratoga,1993-04,99900,94600,5300,5.3
Schenectady,1993-04,74800,70800,4100,5.4
Schoharie,1993-04,15600,14400,1100,7.3
Schuyler,1993-04,8600,7900,700,8.4
Seneca,1993-04,16100,15200,900,5.7
St. Lawrence,1993-04,50300,45800,4500,8.9
Steuben,1993-04,47700,44400,3300,6.9
Suffolk,1993-04,687800,640700,47200,6.9
Sullivan,1993-04,32500,29600,2800,8.8
Tioga,1993-04,26200,24700,1600,6.0
Tompkins,1993-04,49100,47100,2000,4.2
Ulster,1993-04,83500,78000,5500,6.5
Warren,1993-04,30900,27800,3100,10.0
Washington,1993-04,27700,25700,2000,7.3
Wayne,1993-04,48000,44800,3200,6.8
Westchester,1993-04,440700,417200,23400,5.3
Wyoming,1993-04,20000,18300,1700,8.5
Yates,1993-04,11700,11000,700,5.9
Albany,1993-05,157100,150400,6700,4.3
Allegany,1993-05,22400,20400,2000,8.9
Bronx,1993-05,452100,397700,54500,12.0
Broome,1993-05,104200,97000,7100,6.8
Cattaraugus,1993-05,38600,35100,3500,9.0
Cayuga,1993-05,38000,35500,2500,6.6
Chautauqua,1993-05,68700,64300,4400,6.4
Chemung,1993-05,42200,39600,2600,6.2
Chenango,1993-05,25100,23100,2000,8.0
Clinton,1993-05,41000,37800,3200,7.7
Columbia,1993-05,33100,31500,1600,4.9
Cortland,1993-05,24700,22700,2000,8.2
Delaware,1993-05,21000,19700,1400,6.6
Dutchess,1993-05,124000,113300,10800,8.7
Erie,1993-05,471100,440700,30400,6.4
Essex,1993-05,17400,15500,1900,10.7
Franklin,1993-05,21400,19700,1800,8.2
Fulton,1993-05,27400,25200,2100,7.8
Genesee,1993-05,32100,30000,2100,6.5
Greene,1993-05,21100,19300,1800,8.5
Hamilton,1993-05,2800,2500,300,12.1
Herkimer,1993-05,30200,28000,2200,7.4
Jefferson,1993-05,45300,40400,4900,10.9
Kings,1993-05,940700,834100,106600,11.3
Lewis,1993-05,12600,11200,1300,10.6
Livingston,1993-05,33500,31600,1900,5.8
Madison,1993-05,35200,33100,2100,6.0
Monroe,1993-05,385600,367800,17800,4.6
Montgomery,1993-05,24100,22500,1600,6.7
Nassau,1993-05,679500,638500,41000,6.0
New York,1993-05,766300,701400,64900,8.5
Niagara,1993-05,108000,100500,7500,6.9
Oneida,1993-05,113500,106500,7000,6.2
Onondaga,1993-05,242000,227100,15000,6.2
Ontario,1993-05,52500,49800,2600,5.0
Orange,1993-05,153700,144300,9500,6.2
Orleans,1993-05,21300,19700,1600,7.4
Oswego,1993-05,58200,52600,5600,9.6
Otsego,1993-05,31600,29900,1700,5.4
Putnam,1993-05,48700,46100,2600,5.3
Queens,1993-05,946600,854300,92300,9.8
Rensselaer,1993-05,82200,78000,4100,5.0
Richmond,1993-05,184300,167600,16700,9.0
Rockland,1993-05,144500,135300,9200,6.4
Saratoga,1993-05,100600,95700,5000,4.9
Schenectady,1993-05,75600,71600,4000,5.3
Schoharie,1993-05,15500,14600,1000,6.2
Schuyler,1993-05,8900,8200,700,7.4
Seneca,1993-05,16100,15200,1000,6.1
St. Lawrence,1993-05,50700,46000,4700,9.2
Steuben,1993-05,48200,44900,3200,6.7
Suffolk,1993-05,696600,646000,50600,7.3
Sullivan,1993-05,33400,30800,2600,7.9
Tioga,1993-05,26400,24800,1500,5.8
Tompkins,1993-05,49400,47200,2200,4.4
Ulster,1993-05,84100,78200,5900,7.0
Warren,1993-05,31700,29300,2500,7.8
Washington,1993-05,29000,27000,2000,7.0
Wayne,1993-05,48100,45200,2900,6.1
Westchester,1993-05,445200,420500,24700,5.5
Wyoming,1993-05,20600,19100,1500,7.4
Yates,1993-05,12100,11400,600,5.3
Albany,1993-06,159800,153300,6500,4.1
Allegany,1993-06,22500,20600,1900,8.3
Bronx,1993-06,455200,400000,55100,12.1
Broome,1993-06,105800,98600,7200,6.8
Cattaraugus,1993-06,39000,35600,3400,8.8
Cayuga,1993-06,38700,36200,2500,6.3
Chautauqua,1993-06,70400,65900,4500,6.4
Chemung,1993-06,43600,41000,2600,6.0
Chenango,1993-06,26100,24000,2100,8.1
Clinton,1993-06,41700,38800,3000,7.1
Columbia,1993-06,33800,32000,1800,5.3
Cortland,1993-06,24900,23000,1900,7.5
Delaware,1993-06,21400,20100,1400,6.3
Dutchess,1993-06,126100,113200,12900,10.2
Erie,1993-06,480900,448900,32000,6.6
Essex,1993-06,18700,17000,1700,9.1
Franklin,1993-06,21700,20100,1600,7.5
Fulton,1993-06,27900,25700,2200,7.8
Genesee,1993-06,32600,30700,1900,5.9
Greene,1993-06,22200,20400,1800,8.1
Hamilton,1993-06,2900,2700,200,8.1
Herkimer,1993-06,30700,28500,2100,7.0
Jefferson,1993-06,47100,42400,4800,10.1
Kings,1993-06,944700,839100,105600,11.2
Lewis,1993-06,13100,11900,1300,9.6
Livingston,1993-06,34200,32300,1900,5.5
Madison,1993-06,35800,33700,2100,5.9
Monroe,1993-06,394200,376100,18100,4.6
Montgomery,1993-06,24500,22900,1600,6.4
Nassau,1993-06,697700,653500,44100,6.3
New York,1993-06,773300,705500,67700,8.8
Niagara,1993-06,110100,102300,7800,7.1
Oneida,1993-06,115600,108500,7100,6.1
Onondaga,1993-06,246900,231800,15100,6.1
Ontario,1993-06,53600,51000,2600,4.9
Orange,1993-06,159200,148600,10600,6.6
Orleans,1993-06,21700,20200,1500,7.0
Oswego,1993-06,59400,53700,5700,9.6
Otsego,1993-06,30800,29200,1500,5.0
Putnam,1993-06,50300,47400,2900,5.7
Queens,1993-06,952600,859400,93200,9.8
Rensselaer,1993-06,83500,79500,4000,4.7
Richmond,1993-06,185500,168600,16900,9.1
Rockland,1993-06,148200,138100,10100,6.8
Saratoga,1993-06,102200,97500,4700,4.6
Schenectady,1993-06,76800,72900,3900,5.0
Schoharie,1993-06,15900,14900,1000,6.3
Schuyler,1993-06,9400,8700,600,6.7
Seneca,1993-06,16900,15800,1200,6.9
St. Lawrence,1993-06,50800,46300,4500,8.8
Steuben,1993-06,49600,46300,3300,6.7
Suffolk,1993-06,715400,661200,54200,7.6
Sullivan,1993-06,35200,32600,2600,7.4
Tioga,1993-06,26800,25200,1600,5.9
Tompkins,1993-06,48500,46900,1600,3.4
Ulster,1993-06,85500,78400,7100,8.3
Warren,1993-06,33600,31500,2100,6.3
Washington,1993-06,31000,29000,2000,6.5
Wayne,1993-06,49100,46200,2900,5.9
Westchester,1993-06,456200,430100,26200,5.7
Wyoming,1993-06,21400,19900,1600,7.3
Yates,1993-06,12500,11900,700,5.4
Albany,1993-07,160200,153600,6500,4.1
Allegany,1993-07,22300,20600,1600,7.3
Bronx,1993-07,463600,405000,58500,12.6
Broome,1993-07,104800,98200,6600,6.3
Cattaraugus,1993-07,39300,36000,3300,8.3
Cayuga,1993-07,38600,36300,2300,6.1
Chautauqua,1993-07,71000,66700,4300,6.1
Chemung,1993-07,43300,40900,2400,5.6
Chenango,1993-07,26000,24100,1900,7.4
Clinton,1993-07,42000,39300,2800,6.6
Columbia,1993-07,35200,33400,1800,5.1
Cortland,1993-07,24800,23100,1700,6.9
Delaware,1993-07,21400,20100,1300,6.0
Dutchess,1993-07,124600,112000,12500,10.1
Erie,1993-07,484700,449500,35200,7.3
Essex,1993-07,19900,18400,1400,7.2
Franklin,1993-07,22000,20500,1500,6.8
Fulton,1993-07,26700,24700,2000,7.6
Genesee,1993-07,32700,30700,2000,6.0
Greene,1993-07,22300,20600,1700,7.5
Hamilton,1993-07,3100,2900,200,5.5
Herkimer,1993-07,31100,28900,2200,7.0
Jefferson,1993-07,47500,43300,4200,8.8
Kings,1993-07,958700,849600,109100,11.4
Lewis,1993-07,13200,12100,1100,8.4
Livingston,1993-07,33900,32300,1600,4.7
Madison,1993-07,35900,33800,2100,5.9
Monroe,1993-07,398400,376300,22100,5.6
Montgomery,1993-07,24500,22900,1600,6.3
Nassau,1993-07,691700,650500,41200,6.0
New York,1993-07,783800,714400,69400,8.9
Niagara,1993-07,113700,102500,11200,9.9
Oneida,1993-07,116700,110100,6600,5.7
Onondaga,1993-07,246900,232300,14600,5.9
Ontario,1993-07,53200,51000,2200,4.2
Orange,1993-07,163900,153900,10000,6.1
Orleans,1993-07,22000,20200,1800,8.3
Oswego,1993-07,58700,53800,4900,8.3
Otsego,1993-07,31300,29800,1600,5.0
Putnam,1993-07,50900,48000,2900,5.6
Queens,1993-07,956500,870200,86300,9.0
Rensselaer,1993-07,83800,79700,4100,4.9
Richmond,1993-07,190900,170800,20200,10.6
Rockland,1993-07,150100,139600,10400,7.0
Saratoga,1993-07,101900,97700,4200,4.2
Schenectady,1993-07,76800,73100,3700,4.9
Schoharie,1993-07,15800,14900,900,5.5
Schuyler,1993-07,9500,8900,600,6.6
Seneca,1993-07,16800,15800,1000,6.0
St. Lawrence,1993-07,51600,47400,4200,8.2
Steuben,1993-07,50200,47100,3100,6.1
Suffolk,1993-07,712700,658200,54500,7.6
Sullivan,1993-07,37200,34900,2300,6.2
Tioga,1993-07,26800,25100,1700,6.2
Tompkins,1993-07,49500,48000,1500,3.0
Ulster,1993-07,85200,78500,6700,7.8
Warren,1993-07,34300,32300,1900,5.7
Washington,1993-07,31700,29800,1900,6.0
Wayne,1993-07,49000,46200,2800,5.7
Westchester,1993-07,457100,431300,25800,5.6
Wyoming,1993-07,22400,20800,1500,6.9
Yates,1993-07,12700,12100,600,4.5
Albany,1993-08,159600,153000,6600,4.1
Allegany,1993-08,22100,20600,1500,7.0
Bronx,1993-08,455800,402200,53600,11.8
Broome,1993-08,104400,97500,6900,6.6
Cattaraugus,1993-08,38800,35800,3100,7.9
Cayuga,1993-08,38400,36000,2400,6.2
Chautauqua,1993-08,70400,66100,4300,6.1
Chemung,1993-08,42900,40600,2300,5.4
Chenango,1993-08,25900,24100,1800,7.0
Clinton,1993-08,41700,39000,2600,6.3
Columbia,1993-08,34800,33100,1700,4.7
Cortland,1993-08,24300,22600,1700,6.9
Delaware,1993-08,21500,20200,1300,5.8
Dutchess,1993-08,123700,111800,11800,9.6
Erie,1993-08,477400,446100,31300,6.6
Essex,1993-08,19900,18600,1300,6.7
Franklin,1993-08,21700,20400,1300,6.2
Fulton,1993-08,26900,24900,2000,7.4
Genesee,1993-08,32100,30600,1500,4.6
Greene,1993-08,21700,20100,1600,7.4
Hamilton,1993-08,3100,2900,200,5.1
Herkimer,1993-08,30900,28900,2000,6.4
Jefferson,1993-08,46800,42800,4100,8.7
Kings,1993-08,947500,843600,103900,11.0
Lewis,1993-08,12900,11800,1100,8.2
Livingston,1993-08,33600,32200,1400,4.3
Madison,1993-08,35400,33500,1900,5.5
Monroe,1993-08,392700,374900,17800,4.5
Montgomery,1993-08,24400,22800,1500,6.3
Nassau,1993-08,689300,646900,42400,6.2
New York,1993-08,776700,709300,67400,8.7
Niagara,1993-08,109000,101700,7200,6.7
Oneida,1993-08,116400,110100,6400,5.5
Onondaga,1993-08,243900,230200,13700,5.6
Ontario,1993-08,53000,50800,2200,4.1
Orange,1993-08,164300,154400,9800,6.0
Orleans,1993-08,21500,20100,1400,6.4
Oswego,1993-08,58100,53300,4700,8.2
Otsego,1993-08,30700,29200,1500,5.0
Putnam,1993-08,51200,48400,2800,5.5
Queens,1993-08,952000,864100,88000,9.2
Rensselaer,1993-08,83500,79400,4100,4.9
Richmond,1993-08,187300,169600,17700,9.5
Rockland,1993-08,148500,138500,10000,6.8
Saratoga,1993-08,101400,97300,4100,4.0
Schenectady,1993-08,76500,72800,3700,4.9
Schoharie,1993-08,15700,14800,900,5.4
Schuyler,1993-08,9300,8700,600,6.3
Seneca,1993-08,16600,15600,1000,6.1
St. Lawrence,1993-08,50900,47000,3900,7.6
Steuben,1993-08,50900,48000,2900,5.6
Suffolk,1993-08,708200,654400,53700,7.6
Sullivan,1993-08,37600,35300,2200,6.0
Tioga,1993-08,26600,25000,1600,6.1
Tompkins,1993-08,49100,47600,1400,2.9
Ulster,1993-08,84200,77600,6600,7.8
Warren,1993-08,34000,32200,1800,5.3
Washington,1993-08,31600,29700,1900,5.9
Wayne,1993-08,48700,46100,2700,5.5
Westchester,1993-08,451700,426400,25300,5.6
Wyoming,1993-08,22100,20700,1400,6.4
Yates,1993-08,12400,11900,500,4.4
Albany,1993-09,155500,148700,6800,4.4
Allegany,1993-09,22800,21000,1800,7.7
Bronx,1993-09,447000,396200,50800,11.4
Broome,1993-09,102300,95400,6900,6.8
Cattaraugus,1993-09,38000,34900,3100,8.2
