county,month,labor_force,employed,unemployed,unemployment_rate
Washington,1990-02,27900,25900,1900,6.9
Wayne,1990-02,46500,43500,3000,6.5
Westchester,1990-02,468600,452200,16400,3.5
Wyoming,1990-02,19600,18000,1600,8.1
Yates,1990-02,10300,9600,700,6.9
Albany,1990-03,157100,152300,4700,3.0
Allegany,1990-03,23100,21500,1700,7.2
Bronx,1990-03,462100,424200,37900,8.2
Broome,1990-03,106300,101200,5000,4.7
Cattaraugus,1990-03,39700,37000,2800,7.0
Cayuga,1990-03,39100,36400,2800,7.0
Chautauqua,1990-03,67800,63400,4400,6.5
Chemung,1990-03,44200,42000,2200,5.0
Chenango,1990-03,25300,23800,1500,6.1
Clinton,1990-03,38400,35700,2700,7.1
Columbia,1990-03,30700,29600,1100,3.6
Cortland,1990-03,25500,23500,1900,7.5
Delaware,1990-03,21900,20500,1400,6.5
Dutchess,1990-03,134300,130400,3800,2.9
Erie,1990-03,476300,451300,25000,5.2
Essex,1990-03,17300,15500,1800,10.4
Franklin,1990-03,20600,18400,2200,10.9
Fulton,1990-03,26900,24400,2500,9.2
Genesee,1990-03,31100,29400,1700,5.5
Greene,1990-03,21000,19900,1200,5.6
Hamilton,1990-03,2600,2300,300,12.7
Herkimer,1990-03,30000,28000,2100,6.9
Jefferson,1990-03,46100,41000,5000,11.0
Kings,1990-03,965000,891300,73700,7.6
Lewis,1990-03,12000,10900,1100,9.0
Livingston,1990-03,32200,30500,1600,5.1
Madison,1990-03,35400,33200,2200,6.2
Monroe,1990-03,373100,360400,12800,3.4
Montgomery,1990-03,24800,22600,2200,8.7
Nassau,1990-03,696500,674400,22100,3.2
New York,1990-03,782000,739100,42900,5.5
Niagara,1990-03,109400,102700,6700,6.1
Oneida,1990-03,113500,107800,5700,5.0
Onondaga,1990-03,241200,231700,9500,3.9
Ontario,1990-03,50800,48100,2700,5.2
Orange,1990-03,150100,143600,6500,4.3
Orleans,1990-03,19600,18200,1400,7.1
Oswego,1990-03,57500,52800,4600,8.1
Otsego,1990-03,29100,27300,1800,6.3
Putnam,1990-03,47200,45700,1400,3.0
Queens,1990-03,958400,901700,56700,5.9
Rensselaer,1990-03,81200,77700,3500,4.4
