county,month,enrollment
Ulster,2018-04,43877
Warren,2018-04,14978
Washington,2018-04,16320
Wayne,2018-04,21353
Westchester,2018-04,206113
Wyoming,2018-04,8538
Yates,2018-04,4937
Albany,2018-05,63542
Allegany,2018-05,12386
Bronx,2018-05,818244
Broome,2018-05,53561
Cattaraugus,2018-05,21677
Cayuga,2018-05,19631
Chautauqua,2018-05,38864
Chemung,2018-05,25856
Chenango,2018-05,13922
Clinton,2018-05,20051
Columbia,2018-05,14365
Cortland,2018-05,11697
Delaware,2018-05,10396
Dutchess,2018-05,55460
Erie,2018-05,238896
Essex,2018-05,8489
Franklin,2018-05,14494
Fulton,2018-05,14572
Genesee,2018-05,12416
Greene,2018-05,12245
Hamilton,2018-05,722
Herkimer,2018-05,16076
Jefferson,2018-05,28311
Kings,2018-05,1166547
Lewis,2018-05,5309
Livingston,2018-05,12108
Madison,2018-05,15823
Monroe,2018-05,195420
Montgomery,2018-05,17978
Nassau,2018-05,252675
New York,2018-05,445672
Niagara,2018-05,52938
Oneida,2018-05,70882
Onondaga,2018-05,116858
Ontario,2018-05,21773
Orange,2018-05,100891
Orleans,2018-05,10963
Oswego,2018-05,33003
Otsego,2018-05,13056
Putnam,2018-05,13260
Queens,2018-05,920266
Rensselaer,2018-05,34474
Richmond,2018-05,138475
Rockland,2018-05,107662
Saratoga,2018-05,32580
Schenectady,2018-05,44062
Schoharie,2018-05,6897
Schuyler,2018-05,3747
Seneca,2018-05,7878
St. Lawrence,2018-05,28701
Steuben,2018-05,25131
Suffolk,2018-05,308506
Sullivan,2018-05,25412
Tioga,2018-05,11464
Tompkins,2018-05,16013
Ulster,2018-05,43849
Warren,2018-05,15006
Washington,2018-05,16313
Wayne,2018-05,21348
Westchester,2018-05,206220
Wyoming,2018-05,8509
Yates,2018-05,4990
Albany,2018-06,63590
Allegany,2018-06,12310
Bronx,2018-06,818166
Broome,2018-06,53415
Cattaraugus,2018-06,21674
Cayuga,2018-06,19603
Chautauqua,2018-06,38609
Chemung,2018-06,25794
Chenango,2018-06,13856
Clinton,2018-06,19962
Columbia,2018-06,14388
Cortland,2018-06,11702
Delaware,2018-06,10409
Dutchess,2018-06,55639
Erie,2018-06,237420
Essex,2018-06,8460
Franklin,2018-06,14512
Fulton,2018-06,14493
Genesee,2018-06,12495
Greene,2018-06,12247
Hamilton,2018-06,726
Herkimer,2018-06,16128
Jefferson,2018-06,28359
Kings,2018-06,1165743
Lewis,2018-06,5339
Livingston,2018-06,12062
Madison,2018-06,15827
Monroe,2018-06,195303
Montgomery,2018-06,18008
Nassau,2018-06,252415
New York,2018-06,445323
Niagara,2018-06,52991
Oneida,2018-06,71026
Onondaga,2018-06,116758
Ontario,2018-06,21741
Orange,2018-06,100894
Orleans,2018-06,10963
Oswego,2018-06,32982
Otsego,2018-06,12992
Putnam,2018-06,13334
Queens,2018-06,920137
Rensselaer,2018-06,34510
Richmond,2018-06,138682
Rockland,2018-06,107887
Saratoga,2018-06,32588
Schenectady,2018-06,44142
Schoharie,2018-06,6870
Schuyler,2018-06,3741
Seneca,2018-06,7905
St. Lawrence,2018-06,28712
Steuben,2018-06,25102
Suffolk,2018-06,308174
Sullivan,2018-06,25529
Tioga,2018-06,11422
Tompkins,2018-06,15976
Ulster,2018-06,43834
Warren,2018-06,15000
Washington,2018-06,16320
Wayne,2018-06,21268
Westchester,2018-06,206175
Wyoming,2018-06,8511
Yates,2018-06,4945
Albany,2018-07,63461
Allegany,2018-07,12268
Bronx,2018-07,818496
Broome,2018-07,53140
Cattaraugus,2018-07,21663
Cayuga,2018-07,19634
Chautauqua,2018-07,38446
Chemung,2018-07,25854
Chenango,2018-07,13807
Clinton,2018-07,19868
Columbia,2018-07,14376
Cortland,2018-07,11704
Delaware,2018-07,10409
Dutchess,2018-07,55499
Erie,2018-07,236822
Essex,2018-07,8375
Franklin,2018-07,14501
Fulton,2018-07,14529
Genesee,2018-07,12620
Greene,2018-07,12234
Hamilton,2018-07,715
Herkimer,2018-07,16108
Jefferson,2018-07,28396
Kings,2018-07,1166005
Lewis,2018-07,5283
Livingston,2018-07,11973
Madison,2018-07,15873
Monroe,2018-07,195310
Montgomery,2018-07,18041
Nassau,2018-07,252166
New York,2018-07,444544
Niagara,2018-07,53035
Oneida,2018-07,71046
Onondaga,2018-07,116794
Ontario,2018-07,21765
Orange,2018-07,101159
Orleans,2018-07,10933
Oswego,2018-07,32887
Otsego,2018-07,12909
