county,month,enrollment
Cayuga,2019-06,19335
Chautauqua,2019-06,37838
Chemung,2019-06,25310
Chenango,2019-06,13847
Clinton,2019-06,19552
Columbia,2019-06,14440
Cortland,2019-06,11748
Delaware,2019-06,10318
Dutchess,2019-06,56416
Erie,2019-06,235343
Essex,2019-06,8239
Franklin,2019-06,14379
Fulton,2019-06,14673
Genesee,2019-06,12583
Greene,2019-06,12254
Hamilton,2019-06,759
Herkimer,2019-06,16064
Jefferson,2019-06,28419
Kings,2019-06,1157626
Lewis,2019-06,5183
Livingston,2019-06,11964
Madison,2019-06,15845
Monroe,2019-06,195364
Montgomery,2019-06,18063
Nassau,2019-06,254214
New York,2019-06,434607
Niagara,2019-06,52899
Oneida,2019-06,71198
Onondaga,2019-06,116745
Ontario,2019-06,21728
Orange,2019-06,102794
Orleans,2019-06,10702
Oswego,2019-06,32653
Otsego,2019-06,12523
Putnam,2019-06,13605
Queens,2019-06,915133
Rensselaer,2019-06,34680
Richmond,2019-06,140165
Rockland,2019-06,112477
Saratoga,2019-06,32762
Schenectady,2019-06,44417
Schoharie,2019-06,6791
Schuyler,2019-06,3771
Seneca,2019-06,7964
St. Lawrence,2019-06,28400
Steuben,2019-06,24965
Suffolk,2019-06,309910
Sullivan,2019-06,25656
Tioga,2019-06,11322
Tompkins,2019-06,15888
Ulster,2019-06,44044
Warren,2019-06,14860
Washington,2019-06,16372
Wayne,2019-06,21081
Westchester,2019-06,206399
Wyoming,2019-06,8658
Yates,2019-06,4898
Albany,2019-07,63601
Allegany,2019-07,12431
Bronx,2019-07,814160
Broome,2019-07,52067
Cattaraugus,2019-07,21588
Cayuga,2019-07,19366
Chautauqua,2019-07,37834
Chemung,2019-07,25390
Chenango,2019-07,13842
Clinton,2019-07,19571
Columbia,2019-07,14420
Cortland,2019-07,11722
Delaware,2019-07,10356
Dutchess,2019-07,56554
Erie,2019-07,235343
Essex,2019-07,8219
Franklin,2019-07,14367
Fulton,2019-07,14616
Genesee,2019-07,12622
Greene,2019-07,12258
Hamilton,2019-07,766
Herkimer,2019-07,16038
Jefferson,2019-07,28465
Kings,2019-07,1157056
Lewis,2019-07,5191
Livingston,2019-07,11980
Madison,2019-07,15838
Monroe,2019-07,195539
Montgomery,2019-07,18050
Nassau,2019-07,254596
New York,2019-07,433345
Niagara,2019-07,52945
Oneida,2019-07,71218
Onondaga,2019-07,116672
Ontario,2019-07,21708
Orange,2019-07,102938
Orleans,2019-07,10689
Oswego,2019-07,32566
Otsego,2019-07,12502
Putnam,2019-07,13608
Queens,2019-07,915180
Rensselaer,2019-07,34641
Richmond,2019-07,140011
Rockland,2019-07,112785
Saratoga,2019-07,32747
Schenectady,2019-07,44393
Schoharie,2019-07,6827
Schuyler,2019-07,3786
Seneca,2019-07,7925
St. Lawrence,2019-07,28368
Steuben,2019-07,24942
Suffolk,2019-07,310100
Sullivan,2019-07,25623
Tioga,2019-07,11256
Tompkins,2019-07,15914
Ulster,2019-07,44004
Warren,2019-07,14881
Washington,2019-07,16361
Wayne,2019-07,21132
Westchester,2019-07,206346
Wyoming,2019-07,8640
Yates,2019-07,4953
Albany,2019-08,63718
Allegany,2019-08,12407
Bronx,2019-08,813440
Broome,2019-08,52103
Cattaraugus,2019-08,21530
Cayuga,2019-08,19415
Chautauqua,2019-08,37867
Chemung,2019-08,25379
Chenango,2019-08,13814
Clinton,2019-08,19507
Columbia,2019-08,14401
Cortland,2019-08,11707
Delaware,2019-08,10319
Dutchess,2019-08,56652
Erie,2019-08,235368
Essex,2019-08,8300
Franklin,2019-08,14342
Fulton,2019-08,14598
Genesee,2019-08,12666
Greene,2019-08,12266
Hamilton,2019-08,759
Herkimer,2019-08,16027
Jefferson,2019-08,28418
Kings,2019-08,1155239
Lewis,2019-08,5214
Livingston,2019-08,11976
Madison,2019-08,15862
Monroe,2019-08,195577
Montgomery,2019-08,17928
Nassau,2019-08,255143
New York,2019-08,432082
Niagara,2019-08,52995
Oneida,2019-08,71106
Onondaga,2019-08,116796
Ontario,2019-08,21799
Orange,2019-08,103333
Orleans,2019-08,10645
Oswego,2019-08,32605
Otsego,2019-08,12465
Putnam,2019-08,13591
Queens,2019-08,914358
Rensselaer,2019-08,34632
Richmond,2019-08,139904
Rockland,2019-08,113421
Saratoga,2019-08,32791
Schenectady,2019-08,44539
Schoharie,2019-08,6844
Schuyler,2019-08,3760
Seneca,2019-08,7857
St. Lawrence,2019-08,28271
Steuben,2019-08,24884
Suffolk,2019-08,310638
Sullivan,2019-08,25744
Tioga,2019-08,11251
Tompkins,2019-08,15892
Ulster,2019-08,44119
Warren,2019-08,14894
Washington,2019-08,16225
Wayne,2019-08,21167
Westchester,2019-08,206426
Wyoming,2019-08,8625
Yates,2019-08,4939
Albany,2019-09,63605
Allegany,2019-09,12386
Bronx,2019-09,812144
Broome,2019-09,52055
Cattaraugus,2019-09,21509
Cayuga,2019-09,19481
Chautauqua,2019-09,37802
Chemung,2019-09,25236
Chenango,2019-09,13834
Clinton,2019-09,19454
Columbia,2019-09,14328
Cortland,2019-09,11721
Delaware,2019-09,10283
Dutchess,2019-09,56577
Erie,2019-09,235142
Essex,2019-09,8277
Franklin,2019-09,14329
Fulton,2019-09,14596
Genesee,2019-09,12589
Greene,2019-09,12232
Hamilton,2019-09,756
Herkimer,2019-09,16006
Jefferson,2019-09,28380
Kings,2019-09,1152389
Lewis,2019-09,5205
Livingston,2019-09,11936
Madison,2019-09,15858
Monroe,2019-09,195371
Montgomery,2019-09,17951
Nassau,2019-09,254792
New York,2019-09,429998
Niagara,2019-09,52857
Oneida,2019-09,70993
Onondaga,2019-09,116602
Ontario,2019-09,21846
Orange,2019-09,103246
Orleans,2019-09,10640
Oswego,2019-09,32509
Otsego,2019-09,12447
Putnam,2019-09,13565
Queens,2019-09,913186
Rensselaer,2019-09,34527
Richmond,2019-09,140088
Rockland,2019-09,113478
Saratoga,2019-09,32808
Schenectady,2019-09,44443
Schoharie,2019-09,6781
Schuyler,2019-09,3732
Seneca,2019-09,7817
St. Lawrence,2019-09,28229
Steuben,2019-09,24786
Suffolk,2019-09,310350
Sullivan,2019-09,25728
Tioga,2019-09,11198
Tompkins,2019-09,15811
Ulster,2019-09,44068
Warren,2019-09,14865
Washington,2019-09,16230
Wayne,2019-09,21080
Westchester,2019-09,206106
Wyoming,2019-09,8613
Yates,2019-09,4930
Albany,2019-10,63670
Allegany,2019-10,12414
Bronx,2019-10,810335
Broome,2019-10,52099
Cattaraugus,2019-10,21457
Cayuga,2019-10,19510
Chautauqua,2019-10,37806
Chemung,2019-10,25345
Chenango,2019-10,13862
Clinton,2019-10,19508
Columbia,2019-10,14307
Cortland,2019-10,11739
Delaware,2019-10,10214
Dutchess,2019-10,56704
Erie,2019-10,235384
Essex,2019-10,8224
Franklin,2019-10,14367
Fulton,2019-10,14577
Genesee,2019-10,12608
Greene,2019-10,12241
Hamilton,2019-10,761
Herkimer,2019-10,15978
Jefferson,2019-10,28306
Kings,2019-10,1149035
Lewis,2019-10,5180
Livingston,2019-10,11899
Madison,2019-10,15819
Monroe,2019-10,195507
Montgomery,2019-10,18018
Nassau,2019-10,254127
New York,2019-10,428924
Niagara,2019-10,52790
Oneida,2019-10,70962
Onondaga,2019-10,116512
Ontario,2019-10,21852
Orange,2019-10,103395
Orleans,2019-10,10668
Oswego,2019-10,32476
Otsego,2019-10,12444
Putnam,2019-10,13528
Queens,2019-10,911819
Rensselaer,2019-10,34370
Richmond,2019-10,140131
Rockland,2019-10,113521
Saratoga,2019-10,32799
Schenectady,2019-10,44532
Schoharie,2019-10,6776
Schuyler,2019-10,3752
Seneca,2019-10,7867
St. Lawrence,2019-10,28258
Steuben,2019-10,24697
Suffolk,2019-10,310044
Sullivan,2019-10,25754
Tioga,2019-10,11244
Tompkins,2019-10,15806
Ulster,2019-10,44131
Warren,2019-10,14902
Washington,2019-10,16197
Wayne,2019-10,20998
Westchester,2019-10,205778
Wyoming,2019-10,8602
Yates,2019-10,4919
Albany,2019-11,63406
Allegany,2019-11,12412
Bronx,2019-11,805816
Broome,2019-11,51904
Cattaraugus,2019-11,21436
Cayuga,2019-11,19508
Chautauqua,2019-11,37729
Chemung,2019-11,25155
Chenango,2019-11,13812
Clinton,2019-11,19429
Columbia,2019-11,14271
Cortland,2019-11,11695
Delaware,2019-11,10172
Dutchess,2019-11,56541
Erie,2019-11,234812
Essex,2019-11,8163
Franklin,2019-11,14309
Fulton,2019-11,14580
Genesee,2019-11,12532
Greene,2019-11,12187
Hamilton,2019-11,747
Herkimer,2019-11,15911
Jefferson,2019-11,28245
Kings,2019-11,1143129
Lewis,2019-11,5145
Livingston,2019-11,11879
Madison,2019-11,15748
Monroe,2019-11,194977
Montgomery,2019-11,17958
Nassau,2019-11,253403
New York,2019-11,426057
Niagara,2019-11,52658
Oneida,2019-11,70881
Onondaga,2019-11,116295
Ontario,2019-11,21786
Orange,2019-11,103463
Orleans,2019-11,10674
Oswego,2019-11,32477
Otsego,2019-11,12349
Putnam,2019-11,13539
Queens,2019-11,908684
Rensselaer,2019-11,34197
Richmond,2019-11,139867
Rockland,2019-11,113659
Saratoga,2019-11,32784
Schenectady,2019-11,44443
Schoharie,2019-11,6795
Schuyler,2019-11,3714
Seneca,2019-11,7852
St. Lawrence,2019-11,28207
Steuben,2019-11,24573
Suffolk,2019-11,309137
Sullivan,2019-11,25748
Tioga,2019-11,11259
Tompkins,2019-11,15757
Ulster,2019-11,44019
Warren,2019-11,14957
Washington,2019-11,16140
Wayne,2019-11,20921
Westchester,2019-11,204953
Wyoming,2019-11,8538
Yates,2019-11,4944
Albany,2019-12,63352
Allegany,2019-12,12375
Bronx,2019-12,801541
Broome,2019-12,51866
Cattaraugus,2019-12,21447
Cayuga,2019-12,19436
Chautauqua,2019-12,37617
Chemung,2019-12,25127
Chenango,2019-12,13802
Clinton,2019-12,19422
Columbia,2019-12,14186
Cortland,2019-12,11670
Delaware,2019-12,10153
Dutchess,2019-12,56504
Erie,2019-12,234739
Essex,2019-12,8111
Franklin,2019-12,14321
Fulton,2019-12,14561
Genesee,2019-12,12522
Greene,2019-12,12182
Hamilton,2019-12,732
Herkimer,2019-12,15878
Jefferson,2019-12,28208
Kings,2019-12,1137546
Lewis,2019-12,5112
Livingston,2019-12,11777
Madison,2019-12,15701
Monroe,2019-12,194703
Montgomery,2019-12,17886
Nassau,2019-12,252856
New York,2019-12,424225
Niagara,2019-12,52487
Oneida,2019-12,70795
Onondaga,2019-12,115907
Ontario,2019-12,21739
Orange,2019-12,103426
Orleans,2019-12,10606
Oswego,2019-12,32433
Otsego,2019-12,12340
Putnam,2019-12,13545
Queens,2019-12,905409
Rensselaer,2019-12,33932
Richmond,2019-12,139692
Rockland,2019-12,114023
Saratoga,2019-12,32791
Schenectady,2019-12,44290
Schoharie,2019-12,6786
Schuyler,2019-12,3696
Seneca,2019-12,7880
St. Lawrence,2019-12,28162
Steuben,2019-12,24459
Suffolk,2019-12,308505
Sullivan,2019-12,25763
Tioga,2019-12,11253
Tompkins,2019-12,15702
Ulster,2019-12,43894
Warren,2019-12,14821
Washington,2019-12,16118
Wayne,2019-12,20877
Westchester,2019-12,204502
Wyoming,2019-12,8533
Yates,2019-12,4938
Albany,2020-01,63442
Allegany,2020-01,12405
Bronx,2020-01,801988
Broome,2020-01,52147
Cattaraugus,2020-01,21470
Cayuga,2020-01,19436
Chautauqua,2020-01,37698
Chemung,2020-01,25227
Chenango,2020-01,13849
Clinton,2020-01,19560
Columbia,2020-01,14181
Cortland,2020-01,11685
Delaware,2020-01,10145
Dutchess,2020-01,56692
Erie,2020-01,235446
Essex,2020-01,8150
Franklin,2020-01,14332
Fulton,2020-01,14690
Genesee,2020-01,12547
Greene,2020-01,12131
Hamilton,2020-01,728
Herkimer,2020-01,15876
Jefferson,2020-01,28343
Kings,2020-01,1136468
Lewis,2020-01,5127
Livingston,2020-01,11846
Madison,2020-01,15762
Monroe,2020-01,195872
Montgomery,2020-01,17956
Nassau,2020-01,253247
New York,2020-01,424057
Niagara,2020-01,52459
Oneida,2020-01,70875
Onondaga,2020-01,116444
Ontario,2020-01,21825
Orange,2020-01,103944
Orleans,2020-01,10679
Oswego,2020-01,32541
Otsego,2020-01,12435
Putnam,2020-01,13583
Queens,2020-01,906203
Rensselaer,2020-01,34051
Richmond,2020-01,139975
Rockland,2020-01,114263
Saratoga,2020-01,32954
Schenectady,2020-01,44402
Schoharie,2020-01,6846
Schuyler,2020-01,3711
Seneca,2020-01,7887
St. Lawrence,2020-01,28187
Steuben,2020-01,24498
Suffolk,2020-01,308879
Sullivan,2020-01,25895
Tioga,2020-01,11315
Tompkins,2020-01,15729
Ulster,2020-01,44119
Warren,2020-01,14806
Washington,2020-01,16190
Wayne,2020-01,20905
Westchester,2020-01,205139
Wyoming,2020-01,8492
Yates,2020-01,5001
Albany,2020-02,63396
Allegany,2020-02,12325
Bronx,2020-02,800866
Broome,2020-02,52155
Cattaraugus,2020-02,21447
Cayuga,2020-02,19410
Chautauqua,2020-02,37713
Chemung,2020-02,25277
Chenango,2020-02,13887
Clinton,2020-02,19592
Columbia,2020-02,14224
Cortland,2020-02,11665
Delaware,2020-02,10170
Dutchess,2020-02,56965
Erie,2020-02,235685
Essex,2020-02,8139
Franklin,2020-02,14264
Fulton,2020-02,14671
Genesee,2020-02,12578
Greene,2020-02,12124
Hamilton,2020-02,729
Herkimer,2020-02,15895
Jefferson,2020-02,28391
Kings,2020-02,1134384
Lewis,2020-02,5158
Livingston,2020-02,11814
Madison,2020-02,15747
Monroe,2020-02,195864
Montgomery,2020-02,17946
Nassau,2020-02,253127
New York,2020-02,422743
Niagara,2020-02,52504
Oneida,2020-02,70663
Onondaga,2020-02,116440
Ontario,2020-02,21785
Orange,2020-02,104162
Orleans,2020-02,10696
Oswego,2020-02,32523
Otsego,2020-02,12476
Putnam,2020-02,13643
Queens,2020-02,905764
Rensselaer,2020-02,34090
Richmond,2020-02,140300
Rockland,2020-02,114460
Saratoga,2020-02,33010
Schenectady,2020-02,44447
Schoharie,2020-02,6842
Schuyler,2020-02,3736
Seneca,2020-02,7915
St. Lawrence,2020-02,28206
Steuben,2020-02,24494
Suffolk,2020-02,308624
Sullivan,2020-02,26014
Tioga,2020-02,11278
Tompkins,2020-02,15785
Ulster,2020-02,44085
Warren,2020-02,14820
Washington,2020-02,16237
Wayne,2020-02,20943
Westchester,2020-02,205279
Wyoming,2020-02,8418
Yates,2020-02,4953
Albany,2020-03,63420
Allegany,2020-03,12301
Bronx,2020-03,801268
Broome,2020-03,52017
Cattaraugus,2020-03,21436
Cayuga,2020-03,19413
Chautauqua,2020-03,37693
Chemung,2020-03,25217
Chenango,2020-03,13887
Clinton,2020-03,19647
Columbia,2020-03,14179
Cortland,2020-03,11582
Delaware,2020-03,10255
Dutchess,2020-03,56854
Erie,2020-03,235867
Essex,2020-03,8162
Franklin,2020-03,14267
Fulton,2020-03,14624
Genesee,2020-03,12566
Greene,2020-03,12160
Hamilton,2020-03,724
Herkimer,2020-03,15902
Jefferson,2020-03,28311
Kings,2020-03,1133944
Lewis,2020-03,5168
Livingston,2020-03,11826
Madison,2020-03,15768
Monroe,2020-03,195872
Montgomery,2020-03,17879
Nassau,2020-03,253860
New York,2020-03,422864
Niagara,2020-03,52624
Oneida,2020-03,70628
Onondaga,2020-03,116397
Ontario,2020-03,21873
Orange,2020-03,104313
Orleans,2020-03,10702
Oswego,2020-03,32512
Otsego,2020-03,12454
Putnam,2020-03,13641
Queens,2020-03,906568
Rensselaer,2020-03,34070
Richmond,2020-03,140734
Rockland,2020-03,114769
Saratoga,2020-03,33071
Schenectady,2020-03,44455
Schoharie,2020-03,6847
Schuyler,2020-03,3752
Seneca,2020-03,7859
St. Lawrence,2020-03,28077
Steuben,2020-03,24468
Suffolk,2020-03,308884
Sullivan,2020-03,26019
Tioga,2020-03,11348
Tompkins,2020-03,15837
Ulster,2020-03,44129
Warren,2020-03,14802
Washington,2020-03,16232
Wayne,2020-03,20960
Westchester,2020-03,205352
Wyoming,2020-03,8433
Yates,2020-03,4932
Albany,2020-04,64735
Allegany,2020-04,12449
Bronx,2020-04,814301
Broome,2020-04,52995
Cattaraugus,2020-04,21644
Cayuga,2020-04,19775
Chautauqua,2020-04,38262
Chemung,2020-04,25590
Chenango,2020-04,14062
Clinton,2020-04,19917
Columbia,2020-04,14458
Cortland,2020-04,11769
Delaware,2020-04,10394
Dutchess,2020-04,58296
Erie,2020-04,240312
Essex,2020-04,8333
Franklin,2020-04,14406
Fulton,2020-04,14832
Genesee,2020-04,12808
Greene,2020-04,12337
Hamilton,2020-04,734
Herkimer,2020-04,16182
Jefferson,2020-04,28751
Kings,2020-04,1151728
Lewis,2020-04,5237
Livingston,2020-04,11974
Madison,2020-04,16086
Monroe,2020-04,199859
Montgomery,2020-04,18143
Nassau,2020-04,261112
New York,2020-04,429704
Niagara,2020-04,53519
Oneida,2020-04,71755
Onondaga,2020-04,118502
Ontario,2020-04,22349
Orange,2020-04,106328
Orleans,2020-04,10785
Oswego,2020-04,32890
Otsego,2020-04,12671
Putnam,2020-04,14060
Queens,2020-04,926222
Rensselaer,2020-04,34662
Richmond,2020-04,143329
Rockland,2020-04,116835
Saratoga,2020-04,33940
Schenectady,2020-04,45322
Schoharie,2020-04,6931
Schuyler,2020-04,3839
Seneca,2020-04,7928
St. Lawrence,2020-04,28379
Steuben,2020-04,24903
Suffolk,2020-04,317242
Sullivan,2020-04,26393
Tioga,2020-04,11640
Tompkins,2020-04,16225
Ulster,2020-04,45148
Warren,2020-04,15038
Washington,2020-04,16542
Wayne,2020-04,21344
Westchester,2020-04,210556
Wyoming,2020-04,8554
Yates,2020-04,5009
Albany,2020-05,65719
Allegany,2020-05,12545
Bronx,2020-05,827416
Broome,2020-05,53669
Cattaraugus,2020-05,21877
Cayuga,2020-05,20065
Chautauqua,2020-05,38716
Chemung,2020-05,25879
Chenango,2020-05,14197
Clinton,2020-05,20107
Columbia,2020-05,14604
Cortland,2020-05,11901
Delaware,2020-05,10540
Dutchess,2020-05,59297
Erie,2020-05,243537
Essex,2020-05,8430
Franklin,2020-05,14551
Fulton,2020-05,14988
Genesee,2020-05,12975
Greene,2020-05,12532
Hamilton,2020-05,748
Herkimer,2020-05,16434
Jefferson,2020-05,29120
Kings,2020-05,1169246
Lewis,2020-05,5326
Livingston,2020-05,12072
Madison,2020-05,16279
Monroe,2020-05,202599
Montgomery,2020-05,18379
Nassau,2020-05,266857
New York,2020-05,435488
Niagara,2020-05,54426
Oneida,2020-05,72556
Onondaga,2020-05,120149
Ontario,2020-05,22783
Orange,2020-05,108164
Orleans,2020-05,10918
Oswego,2020-05,33215
Otsego,2020-05,12831
Putnam,2020-05,14363
Queens,2020-05,944583
Rensselaer,2020-05,35148
Richmond,2020-05,145648
Rockland,2020-05,118515
Saratoga,2020-05,34630
Schenectady,2020-05,46076
Schoharie,2020-05,7005
Schuyler,2020-05,3916
Seneca,2020-05,7956
St. Lawrence,2020-05,28587
Steuben,2020-05,25228
Suffolk,2020-05,323970
Sullivan,2020-05,26729
Tioga,2020-05,11808
Tompkins,2020-05,16522
Ulster,2020-05,45888
Warren,2020-05,15276
Washington,2020-05,16747
Wayne,2020-05,21617
Westchester,2020-05,214529
Wyoming,2020-05,8624
Yates,2020-05,5079
Albany,2020-06,66424
Allegany,2020-06,12632
Bronx,2020-06,839754
Broome,2020-06,54261
Cattaraugus,2020-06,22163
Cayuga,2020-06,20274
Chautauqua,2020-06,39054
Chemung,2020-06,26147
Chenango,2020-06,14408
Clinton,2020-06,20328
Columbia,2020-06,14767
Cortland,2020-06,12049
Delaware,2020-06,10627
Dutchess,2020-06,60058
Erie,2020-06,246163
Essex,2020-06,8558
Franklin,2020-06,14716
Fulton,2020-06,15124
Genesee,2020-06,13153
Greene,2020-06,12678
Hamilton,2020-06,742
Herkimer,2020-06,16639
Jefferson,2020-06,29370
Kings,2020-06,1185479
Lewis,2020-06,5372
Livingston,2020-06,12221
Madison,2020-06,16443
Monroe,2020-06,204506
Montgomery,2020-06,18620
Nassau,2020-06,270593
New York,2020-06,441623
Niagara,2020-06,55031
Oneida,2020-06,73179
Onondaga,2020-06,121452
Ontario,2020-06,22982
Orange,2020-06,109769
Orleans,2020-06,10981
Oswego,2020-06,33521
Otsego,2020-06,12974
Putnam,2020-06,14569
Queens,2020-06,960763
Rensselaer,2020-06,35480
Richmond,2020-06,147689
Rockland,2020-06,120031
Saratoga,2020-06,35133
Schenectady,2020-06,46787
Schoharie,2020-06,7086
Schuyler,2020-06,3938
Seneca,2020-06,7988
St. Lawrence,2020-06,28825
Steuben,2020-06,25538
Suffolk,2020-06,328628
Sullivan,2020-06,26996
Tioga,2020-06,11909
Tompkins,2020-06,16741
Ulster,2020-06,46385
Warren,2020-06,15468
Washington,2020-06,16918
Wayne,2020-06,21950
Westchester,2020-06,217670
Wyoming,2020-06,8677
Yates,2020-06,5096
Albany,2020-07,67292
Allegany,2020-07,12734
Bronx,2020-07,851645
Broome,2020-07,54920
Cattaraugus,2020-07,22426
Cayuga,2020-07,20478
Chautauqua,2020-07,39432
Chemung,2020-07,26446
Chenango,2020-07,14537
Clinton,2020-07,20527
Columbia,2020-07,14966
Cortland,2020-07,12164
Delaware,2020-07,10747
Dutchess,2020-07,60821
Erie,2020-07,249068
Essex,2020-07,8632
Franklin,2020-07,14899
Fulton,2020-07,15279
Genesee,2020-07,13309
Greene,2020-07,12836
Hamilton,2020-07,756
Herkimer,2020-07,16795
Jefferson,2020-07,29641
Kings,2020-07,1200951
Lewis,2020-07,5445
Livingston,2020-07,12275
Madison,2020-07,16617
Monroe,2020-07,206999
Montgomery,2020-07,18820
Nassau,2020-07,274898
New York,2020-07,447351
Niagara,2020-07,55632
Oneida,2020-07,73891
Onondaga,2020-07,122798
Ontario,2020-07,23299
Orange,2020-07,111320
Orleans,2020-07,11086
Oswego,2020-07,33869
Otsego,2020-07,13171
Putnam,2020-07,14797
Queens,2020-07,976489
Rensselaer,2020-07,35854
Richmond,2020-07,150054
Rockland,2020-07,121436
Saratoga,2020-07,35710
Schenectady,2020-07,47317
Schoharie,2020-07,7177
Schuyler,2020-07,3969
Seneca,2020-07,8015
St. Lawrence,2020-07,29127
Steuben,2020-07,25881
Suffolk,2020-07,333433
Sullivan,2020-07,27295
Tioga,2020-07,12052
Tompkins,2020-07,17007
Ulster,2020-07,46995
Warren,2020-07,15625
Washington,2020-07,17148
Wayne,2020-07,22174
Westchester,2020-07,220748
Wyoming,2020-07,8753
Yates,2020-07,5166
Albany,2020-08,68112
Allegany,2020-08,12884
Bronx,2020-08,860374
Broome,2020-08,55528
Cattaraugus,2020-08,22589
Cayuga,2020-08,20696
Chautauqua,2020-08,39724
Chemung,2020-08,26704
Chenango,2020-08,14739
Clinton,2020-08,20667
Columbia,2020-08,15150
Cortland,2020-08,12233
Delaware,2020-08,10850
Dutchess,2020-08,61614
Erie,2020-08,251729
Essex,2020-08,8711
Franklin,2020-08,15027
Fulton,2020-08,15414
Genesee,2020-08,13445
Greene,2020-08,12953
Hamilton,2020-08,762
Herkimer,2020-08,16940
Jefferson,2020-08,29907
Kings,2020-08,1213232
Lewis,2020-08,5474
Livingston,2020-08,12384
Madison,2020-08,16781
Monroe,2020-08,208968
Montgomery,2020-08,19028
Nassau,2020-08,278621
New York,2020-08,452430
Niagara,2020-08,56230
Oneida,2020-08,74543
Onondaga,2020-08,123982
Ontario,2020-08,23540
Orange,2020-08,112547
Orleans,2020-08,11170
Oswego,2020-08,34221
Otsego,2020-08,13315
Putnam,2020-08,14963
Queens,2020-08,989357
Rensselaer,2020-08,36140
Richmond,2020-08,151931
Rockland,2020-08,122608
Saratoga,2020-08,36183
Schenectady,2020-08,47830
Schoharie,2020-08,7268
Schuyler,2020-08,4033
Seneca,2020-08,8108
St. Lawrence,2020-08,29340
Steuben,2020-08,26127
Suffolk,2020-08,337986
Sullivan,2020-08,27595
Tioga,2020-08,12177
Tompkins,2020-08,17226
Ulster,2020-08,47663
Warren,2020-08,15806
Washington,2020-08,17289
Wayne,2020-08,22421
Westchester,2020-08,223620
Wyoming,2020-08,8845
Yates,2020-08,5223
Albany,2020-09,68954
Allegany,2020-09,13007
Bronx,2020-09,869587
Broome,2020-09,56128
Cattaraugus,2020-09,22881
Cayuga,2020-09,20902
Chautauqua,2020-09,40059
Chemung,2020-09,27007
Chenango,2020-09,14927
Clinton,2020-09,20845
Columbia,2020-09,15323
Cortland,2020-09,12345
Delaware,2020-09,10968
Dutchess,2020-09,62425
Erie,2020-09,254651
Essex,2020-09,8795
Franklin,2020-09,15149
Fulton,2020-09,15535
Genesee,2020-09,13575
Greene,2020-09,13071
Hamilton,2020-09,776
Herkimer,2020-09,17058
Jefferson,2020-09,30114
Kings,2020-09,1225963
Lewis,2020-09,5504
Livingston,2020-09,12547
Madison,2020-09,16948
Monroe,2020-09,211082
Montgomery,2020-09,19239
Nassau,2020-09,282299
New York,2020-09,457139
Niagara,2020-09,56750
Oneida,2020-09,75194
Onondaga,2020-09,125201
Ontario,2020-09,23802
Orange,2020-09,113752
Orleans,2020-09,11285
Oswego,2020-09,34518
Otsego,2020-09,13460
Putnam,2020-09,15176
Queens,2020-09,1002245
Rensselaer,2020-09,36548
Richmond,2020-09,153986
Rockland,2020-09,123809
Saratoga,2020-09,36693
Schenectady,2020-09,48451
Schoharie,2020-09,7345
Schuyler,2020-09,4078
Seneca,2020-09,8220
St. Lawrence,2020-09,29620
Steuben,2020-09,26365
Suffolk,2020-09,342298
Sullivan,2020-09,27853
Tioga,2020-09,12339
Tompkins,2020-09,17365
Ulster,2020-09,48225
Warren,2020-09,15944
Washington,2020-09,17448
Wayne,2020-09,22653
Westchester,2020-09,226436
Wyoming,2020-09,8924
Yates,2020-09,5299
Albany,2020-10,69820
Allegany,2020-10,13122
Bronx,2020-10,878440
Broome,2020-10,56732
Cattaraugus,2020-10,23055
Cayuga,2020-10,21057
Chautauqua,2020-10,40331
Chemung,2020-10,27303
Chenango,2020-10,15140
Clinton,2020-10,21028
Columbia,2020-10,15453
Cortland,2020-10,12453
Delaware,2020-10,11077
Dutchess,2020-10,63122
Erie,2020-10,256866
Essex,2020-10,8851
Franklin,2020-10,15210
Fulton,2020-10,15689
Genesee,2020-10,13671
Greene,2020-10,13225
Hamilton,2020-10,785
Herkimer,2020-10,17253
Jefferson,2020-10,30302
Kings,2020-10,1236289
Lewis,2020-10,5566
Livingston,2020-10,12697
Madison,2020-10,17071
Monroe,2020-10,212825
Montgomery,2020-10,19394
Nassau,2020-10,285810
New York,2020-10,461293
Niagara,2020-10,57284
Oneida,2020-10,75797
Onondaga,2020-10,126229
Ontario,2020-10,23999
Orange,2020-10,115085
Orleans,2020-10,11376
Oswego,2020-10,34802
Otsego,2020-10,13600
Putnam,2020-10,15408
Queens,2020-10,1013823
Rensselaer,2020-10,36936
Richmond,2020-10,155768
Rockland,2020-10,124860
Saratoga,2020-10,37188
Schenectady,2020-10,48857
Schoharie,2020-10,7406
Schuyler,2020-10,4090
Seneca,2020-10,8310
St. Lawrence,2020-10,29825
Steuben,2020-10,26626
Suffolk,2020-10,346134
Sullivan,2020-10,28122
Tioga,2020-10,12439
Tompkins,2020-10,17534
Ulster,2020-10,48699
Warren,2020-10,16090
Washington,2020-10,17628
Wayne,2020-10,22874
Westchester,2020-10,229233
Wyoming,2020-10,8973
Yates,2020-10,5347
Albany,2020-11,70444
Allegany,2020-11,13231
Bronx,2020-11,886135
Broome,2020-11,57229
Cattaraugus,2020-11,23235
Cayuga,2020-11,21230
Chautauqua,2020-11,40618
Chemung,2020-11,27503
Chenango,2020-11,15205
Clinton,2020-11,21155
Columbia,2020-11,15628
Cortland,2020-11,12558
