county,year,population
Orange,2022,407314
Orleans,2022,39510
Oswego,2022,118150
Otsego,2022,60447
Putnam,2022,98361
Queens,2022,2291363
Rensselaer,2022,159213
Richmond,2022,492579
Rockland,2022,342154
Saratoga,2022,238523
Schenectady,2022,159790
Schoharie,2022,30059
Schuyler,2022,17591
Seneca,2022,32676
St. Lawrence,2022,106900
Steuben,2022,92427
Suffolk,2022,1531736
Sullivan,2022,79868
Tioga,2022,47724
Tompkins,2022,104177
Ulster,2022,182546
Warren,2022,65461
Washington,2022,60808
Wayne,2022,90839
Westchester,2022,994313
Wyoming,2022,39824
Yates,2022,24455
Albany,2023,317590
Allegany,2023,46694
Bronx,2023,1380478
Broome,2023,195934
Cattaraugus,2023,75671
Cayuga,2023,74563
Chautauqua,2023,125061
Chemung,2023,81090
Chenango,2023,45904
Clinton,2023,77905
Columbia,2023,60607
Cortland,2023,46004
Delaware,2023,44533
Dutchess,2023,297451
Erie,2023,947418
Essex,2023,36686
Franklin,2023,46224
Fulton,2023,52468
Genesee,2023,58016
Greene,2023,47411
Hamilton,2023,5068
Herkimer,2023,59551
Jefferson,2023,113280
Kings,2023,2611893
Lewis,2023,26568
Livingston,2023,61184
Madison,2023,67242
Monroe,2023,748957
Montgomery,2023,49531
Nassau,2023,1388940
New York,2023,1631534
Niagara,2023,209451
Oneida,2023,227555
Onondaga,2023,468524
Ontario,2023,112374
Orange,2023,410179
Orleans,2023,39567
Oswego,2023,117939
Otsego,2023,60581
Putnam,2023,98110
Queens,2023,2314747
Rensselaer,2023,159605
Richmond,2023,495182
Rockland,2023,346437
Saratoga,2023,238699
Schenectady,2023,160129
Schoharie,2023,30140
Schuyler,2023,17441
Seneca,2023,32449
St. Lawrence,2023,106607
Steuben,2023,92078
Suffolk,2023,1533173
Sullivan,2023,80413
Tioga,2023,47606
Tompkins,2023,104453
Ulster,2023,182956
Warren,2023,65467
Washington,2023,60052
Wayne,2023,90721
Westchester,2023,998335
Wyoming,2023,39750
Yates,2023,24367
Albany,2024,319702
Allegany,2024,46822
Bronx,2024,1406052
Broome,2024,195893
Cattaraugus,2024,75448
Cayuga,2024,74642
Chautauqua,2024,124697
Chemung,2024,80837
Chenango,2024,45793
Clinton,2024,77832
Columbia,2024,60389
Cortland,2024,46062
Delaware,2024,44481
Dutchess,2024,299256
Erie,2024,947783
Essex,2024,36539
Franklin,2024,46983
Fulton,2024,52184
Genesee,2024,58428
Greene,2024,47311
Hamilton,2024,5083
Herkimer,2024,59368
Jefferson,2024,112795
Kings,2024,2658657
Lewis,2024,26512
Livingston,2024,61364
Madison,2024,67193
Monroe,2024,750294
Montgomery,2024,49580
Nassau,2024,1397783
New York,2024,1665510
Niagara,2024,209380
Oneida,2024,227292
Onondaga,2024,468173
Ontario,2024,112733
Orange,2024,415088
Orleans,2024,39886
Oswego,2024,118182
Otsego,2024,60634
Putnam,2024,98842
Queens,2024,2367034
Rensselaer,2024,160014
Richmond,2024,499572
Rockland,2024,354829
Saratoga,2024,239834
Schenectady,2024,161747
Schoharie,2024,30235
Schuyler,2024,17141
Seneca,2024,32671
St. Lawrence,2024,106168
Steuben,2024,91939
Suffolk,2024,1543330
Sullivan,2024,80901
Tioga,2024,47545
Tompkins,2024,104394
Ulster,2024,183095
Warren,2024,65261
Washington,2024,59822
Wayne,2024,90988
Westchester,2024,1009165
Wyoming,2024,39817
Yates,2024,24434
Albany,2025,321225
Allegany,2025,46800
Bronx,2025,1406332
Broome,2025,195736
Cattaraugus,2025,75390
Cayuga,2025,74365
Chautauqua,2025,124126
Chemung,2025,80415
Chenango,2025,45715
Clinton,2025,78138
Columbia,2025,60168
Cortland,2025,45850
Delaware,2025,44305
Dutchess,2025,300708
Erie,2025,946741
Essex,2025,36438
Franklin,2025,46500
Fulton,2025,52216
Genesee,2025,58416
Greene,2025,47238
Hamilton,2025,5006
Herkimer,2025,59219
Jefferson,2025,111540
Kings,2025,2653963
Lewis,2025,26479
Livingston,2025,61438
Madison,2025,67120
Monroe,2025,750506
Montgomery,2025,50046
Nassau,2025,1398939
New York,2025,1664862
Niagara,2025,208912
Oneida,2025,226392
Onondaga,2025,466584
Ontario,2025,113130
Orange,2025,417669
Orleans,2025,39825
Oswego,2025,118569
Otsego,2025,60589
Putnam,2025,99028
Queens,2025,2358182
Rensselaer,2025,160510
Richmond,2025,501290
Rockland,2025,357397
Saratoga,2025,241343
Schenectady,2025,162581
Schoharie,2025,30176
Schuyler,2025,16924
Seneca,2025,32883
St. Lawrence,2025,105488
Steuben,2025,91855
Suffolk,2025,1546090
Sullivan,2025,80586
Tioga,2025,47453
Tompkins,2025,104047
Ulster,2025,183330
Warren,2025,65020
Washington,2025,59353
Wayne,2025,91250
Westchester,2025,1015743
Wyoming,2025,39741
Yates,2025,24547
