region,target,feature,coef,pvalue,ci_lower,ci_upper,r2,r2_adj,n_obs
Upstate,medicaid_per_1k,m_6,-1.341996,0.718847,-8.648284,5.964292,0.0268,0.0239,4655
Upstate,medicaid_per_1k,m_7,-1.475902,0.691682,-8.770175,5.81837,0.0268,0.0239,4655
Upstate,medicaid_per_1k,m_8,-1.963886,0.59868,-9.277489,5.349717,0.0268,0.0239,4655
Upstate,medicaid_per_1k,m_9,-2.482744,0.510675,-9.880409,4.914922,0.0268,0.0239,4655
Upstate,medicaid_per_1k,m_10,1.000779,0.797224,-6.633213,8.634772,0.0268,0.0239,4655
Upstate,medicaid_per_1k,m_11,-3.170633,0.400038,-10.554993,4.213726,0.0268,0.0239,4655
Upstate,medicaid_per_1k,m_12,-3.275848,0.380146,-10.59164,4.039945,0.0268,0.0239,4655
Upstate,snap_per_1k,const,106.670609,0.0,102.042669,111.298549,0.029,0.0261,4655
Upstate,snap_per_1k,unemp_rate,2.607153,0.0,2.01513,3.199177,0.029,0.0261,4655
Upstate,snap_per_1k,trend,0.039751,0.021159,0.005952,0.073549,0.029,0.0261,4655
Upstate,snap_per_1k,covid,-11.559637,0.0,-13.89346,-9.225814,0.029,0.0261,4655
Upstate,snap_per_1k,m_2,-0.13678,0.949435,-4.364174,4.090614,0.029,0.0261,4655
Upstate,snap_per_1k,m_3,1.051226,0.626591,-3.183584,5.286037,0.029,0.0261,4655
Upstate,snap_per_1k,m_4,-0.610514,0.780198,-4.898413,3.677385,0.029,0.0261,4655
Upstate,snap_per_1k,m_5,1.044957,0.629314,-3.198067,5.287982,0.029,0.0261,4655
Upstate,snap_per_1k,m_6,0.147776,0.945389,-4.080591,4.376143,0.029,0.0261,4655
Upstate,snap_per_1k,m_7,-1.679729,0.434788,-5.894972,2.535513,0.029,0.0261,4655
Upstate,snap_per_1k,m_8,-1.775368,0.409764,-5.996674,2.445937,0.029,0.0261,4655
Upstate,snap_per_1k,m_9,-0.347604,0.873969,-4.642749,3.947542,0.029,0.0261,4655
Upstate,snap_per_1k,m_10,1.257973,0.581761,-3.218272,5.734218,0.029,0.0261,4655
Upstate,snap_per_1k,m_11,-0.145644,0.947316,-4.465648,4.174359,0.029,0.0261,4655
Upstate,snap_per_1k,m_12,-0.237559,0.913624,-4.530121,4.055003,0.029,0.0261,4655
